id,scale_version,bullshit_receptivity_scale_1,bullshit_receptivity_scale_2,bullshit_receptivity_scale_3,bullshit_receptivity_scale_4,bullshit_receptivity_scale_5,bullshit_receptivity_scale_6,bullshit_receptivity_scale_7,bullshit_receptivity_scale_8,bullshit_receptivity_scale_9,bullshit_receptivity_scale_10,bullshit_receptivity_scale_11,bullshit_receptivity_scale_12,bullshit_receptivity_scale_13,bullshit_receptivity_scale_14,bullshit_receptivity_scale_15,bullshit_receptivity_scale_16,bullshit_receptivity_scale_17,bullshit_receptivity_scale_18,bullshit_receptivity_scale_19,bullshit_receptivity_scale_20,bullshit_receptivity_scale_21,bullshit_receptivity_scale_22,bullshit_receptivity_scale_23,bullshit_receptivity_scale_24,bullshit_receptivity_scale_25,bullshit_receptivity_scale_26,bullshit_receptivity_scale_27,bullshit_receptivity_scale_28,bullshit_receptivity_scale_29,bullshit_receptivity_scale_30,age,sex,bullshit_receptivity_scale_total
118,4,3,2,3,4,4,3,2,4,4,4,4,3,4,3,2,2,3,2,2,3,2,2,3,3,3,4,3,4,3,3,20,2,91
119,3,5,3,3,5,5,5,5,4,5,5,4,5,5,4,5,5,3,5,4,3,5,4,5,3,5,5,4,5,5,5,24,2,134
120,2,4,4,3,1,2,4,3,4,3,3,2,4,5,4,4,4,3,2,4,3,4,3,5,1,4,5,1,5,3,2,20,2,99
121,4,3,4,5,4,2,4,3,5,2,1,4,4,5,3,4,5,4,4,1,2,5,4,4,3,5,5,5,4,4,4,22,2,112
122,3,4,2,3,5,5,3,5,3,2,5,4,5,4,2,2,4,5,3,4,2,5,2,5,1,5,3,5,5,5,4,21,2,112
123,1,3,4,3,3,2,3,4,4,1,2,2,1,5,2,4,4,4,4,1,3,4,4,4,1,3,5,3,1,4,4,19,1,92
124,3,3,2,4,5,4,5,3,3,2,4,2,5,5,3,5,4,5,2,1,1,5,3,1,1,4,5,4,4,2,5,21,2,102
125,1,3,3,2,1,2,4,3,3,1,3,2,2,4,1,1,2,1,1,3,1,3,1,5,1,1,3,4,5,1,1,21,2,68
126,2,3,2,3,2,2,1,2,2,4,4,3,2,2,3,2,2,2,4,2,2,2,2,2,2,4,2,4,3,3,2,19,2,75
127,4,1,3,1,2,2,2,3,2,2,2,2,2,1,3,2,2,2,3,2,2,1,4,1,3,2,3,3,4,3,2,20,2,67
128,4,2,4,1,3,1,2,2,1,1,1,1,3,4,2,3,4,3,1,1,1,3,2,1,1,2,2,1,3,1,2,21,1,59
129,2,4,4,3,2,3,4,3,4,3,4,3,3,4,1,3,4,3,4,2,2,4,3,3,1,3,3,2,3,2,3,21,2,90
130,3,2,2,3,4,2,5,5,4,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,22,2,134
131,1,3,4,3,4,2,5,4,2,2,3,4,4,5,4,2,2,3,4,3,4,5,4,4,4,3,5,3,4,5,4,21,1,108
132,4,3,2,2,3,4,4,4,4,3,4,3,3,2,2,4,3,4,3,2,2,4,4,5,3,3,5,4,5,4,3,19,2,101
133,3,4,3,1,2,5,5,5,5,1,4,5,5,5,4,5,5,3,5,3,1,5,4,5,5,5,5,4,5,5,2,22,2,121
134,1,3,2,2,2,3,4,4,3,3,4,2,3,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,3,2,1,20,2,64
135,2,3,3,2,3,4,5,5,4,3,3,5,5,3,4,3,3,2,5,4,4,5,4,5,2,3,4,3,2,4,3,21,2,108
136,4,3,1,2,4,1,3,4,3,3,3,4,2,4,2,5,5,5,4,1,5,4,4,2,3,3,2,4,5,4,2,19,2,97
137,1,3,2,3,1,4,4,2,2,3,2,4,1,4,3,2,4,4,4,3,4,4,1,3,3,3,4,4,3,3,3,22,2,90
138,3,3,2,2,2,2,5,3,4,2,3,2,2,5,1,1,2,2,3,2,2,2,2,5,2,2,5,2,4,5,5,21,2,84
139,2,5,3,4,1,5,2,3,4,4,4,3,2,4,5,4,4,5,5,2,2,5,5,5,4,5,2,2,2,3,1,21,2,105
140,4,3,2,3,1,3,4,4,4,3,4,5,2,3,3,5,5,4,4,3,4,5,5,2,3,2,3,4,5,4,4,22,2,106
