id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,syrian_refugees,health_care,muslim_Immigration,abortion,deport_immigrants,taxes,border_wall,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,conservative_political_belief_total,IAT_score
61,12/1/2017,12:28:06,2,1,2,2,19,488430,7,6,4,3,2,2,2,4,1,2,6,4,2,3,5,4,2,4,3,4,4,99,99,99,99,99,0,2,2,1,1,2,81019,3,81019,5,21,31,0.70586435
62,12/1/2017,12:47:09,1,1,1,1,18,49315,10,8,3,4,3,1,4,4,4,2,7,4,3,4,7,4,2,5,4,4,4,99,99,99,99,99,0,2,2,1,1,1,57857,2,57857,4,23,43,1.306943831
63,12/1/2017,13:37:28,3,2,1,2,19,49858,6,3,2,5,2,5,4,4,2,2,4,2,2,1,6,4,4,3,4,4,3,2,1,3,3,1,101653,99,99,99,99,99,0,1,101653,4,22,27,0.986830475
64,12/1/2017,14:04:16,4,2,2,2,21,48322,9,9,3,4,4,5,4,4,1,2,1,6,4,6,5,4,2,4,4,3,4,2,1,3,3,1,196881,99,99,99,99,99,0,5,196881,4,21,37,0.710287411
65,12/1/2017,14:18:44,4,2,2,1,18,49201,3,4,5,5,1,5,2,3,1,2,2,3,3,5,1,3,3,4,2,3,5,2,1,2,3,1,72197,99,99,99,99,99,0,4,72197,3,20,17,0.370649045
66,12/1/2017,14:44:43,2,1,2,1,19,48080,7,7,2,4,2,4,4,4,2,2,4,3,3,1,5,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,1,91512,3,91512,4,18,34,0.929928852
67,12/4/2017,11:10:15,1,1,1,2,22,48625,6,8,1,3,3,5,5,3,2,2,3,4,3,4,5,4,4,5,3,3,3,99,99,99,99,99,0,2,2,1,1,1,43609,4,43609,4,22,36,0.706261452
68,12/4/2017,11:27:02,3,2,1,1,18,48604,6,6,4,4,3,3,2,4,3,2,6,4,4,2,6,4,4,4,3,4,4,2,1,3,2,2,75722,99,99,99,99,99,0,4,75722,4,23,31,1.648326881
69,12/4/2017,11:51:14,1,1,1,2,18,48060,5,6,3,4,3,4,2,3,2,2,6,3,3,1,5,4,4,4,5,4,3,99,99,99,99,99,0,2,2,1,1,1,81184,1,81184,4,24,28,1.132108194
71,12/4/2017,13:08:03,4,2,2,2,19,48430,6,6,3,4,2,5,4,4,1,2,6,4,4,7,5,4,2,5,4,5,4,2,2,2,2,1,119013,99,99,99,99,99,0,2,119013,1,24,29,0.54644735
72,12/4/2017,13:30:04,3,2,1,2,18,48843,3,6,4,4,2,5,2,4,1,2,6,4,4,7,5,4,2,4,3,4,4,2,1,3,3,2,50981,99,99,99,99,99,0,4,50981,5,21,23,0.953994276
73,12/4/2017,18:12:41,4,2,2,1,19,48439,11,11,1,2,5,4,5,3,5,2,5,3,4,2,5,3,3,3,3,4,4,2,1,1,3,2,114455,99,99,99,99,99,0,1,114455,4,20,51,0.657777148
74,12/4/2017,18:34:14,2,1,2,2,23,48064,3,9,4,4,3,5,2,3,2,2,4,4,2,2,7,3,2,4,4,3,5,99,99,99,99,99,0,2,2,1,1,2,65229,3,65229,5,21,27,0.842452128
75,12/5/2017,14:18:32,1,1,1,2,18,48035,4,4,4,4,1,4,3,3,1,2,3,2,2,1,6,3,3,3,3,3,4,99,99,99,99,99,0,2,2,1,1,2,60653,3,60653,5,19,22,0.568726022
76,12/5/2017,14:33:33,3,2,1,2,18,48152,10,6,2,4,3,1,3,4,3,2,7,6,6,7,6,5,1,5,4,5,4,2,1,1,2,1,69826,99,99,99,99,99,0,2,69826,2,24,40,0.972139996
77,12/5/2017,15:14:54,1,1,1,2,18,48150,5,4,3,3,2,5,3,3,2,2,5,4,1,2,5,4,5,4,4,4,4,99,99,99,99,99,0,2,2,1,1,1,119672,4,119672,4,25,26,0.679084813
79,12/5/2017,17:14:47,3,2,1,2,21,48609,7,6,4,5,2,3,2,4,2,2,7,4,5,3,5,5,5,5,5,5,5,2,1,3,2,1,62634,99,99,99,99,99,0,2,62634,3,30,29,0.839156108
81,12/5/2017,17:52:23,1,1,1,1,18,53224,8,6,3,4,1,4,1,4,1,2,7,6,5,6,5,4,4,4,4,4,5,99,99,99,99,99,0,2,2,1,1,1,67953,3,67953,4,25,28,0.717074068
82,12/5/2017,18:23:53,4,2,2,2,18,48093,7,8,3,4,2,4,4,3,3,2,1,4,3,2,6,5,5,5,5,5,5,2,1,2,3,2,61484,99,99,99,99,99,0,2,61484,4,30,34,0.798364032
83,12/6/2017,12:32:09,2,1,2,1,18,48843,8,8,1,4,3,1,4,4,4,2,5,3,3,2,6,4,3,4,3,3,3,99,99,99,99,99,0,2,2,1,1,1,74856,4,74856,4,20,43,0.496569139
84,12/6/2017,12:56:57,3,2,1,2,18,48005,4,5,3,4,1,5,3,4,1,2,4,4,3,2,5,4,4,3,4,4,4,2,1,2,3,1,138008,99,99,99,99,99,0,3,138008,3,23,24,1.349592714
85,12/6/2017,13:12:26,3,2,1,2,21,49417,3,6,5,5,1,5,1,1,1,2,6,5,2,7,7,5,5,5,5,5,5,2,1,3,1,2,76536,99,99,99,99,99,0,4,76536,4,30,16,0.394813529
86,12/6/2017,13:32:36,2,1,2,1,18,49735,7,7,2,2,2,2,5,4,1,2,2,2,4,5,5,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,1,52659,4,52659,4,18,38,0.950982198
87,12/6/2017,14:03:35,4,2,2,2,22,48128,5,6,5,4,2,5,2,4,2,2,7,4,3,4,6,5,4,4,4,5,4,2,1,2,3,1,83443,99,99,99,99,99,0,3,83443,3,26,25,-0.048137968
88,12/6/2017,14:57:54,1,1,1,2,19,49601,4,6,3,4,2,4,4,3,2,2,5,4,3,2,6,4,4,4,3,4,3,99,99,99,99,99,0,2,2,1,1,1,185267,3,185267,4,22,28,1.051631281
89,12/6/2017,16:07:30,4,2,2,2,19,48060,5,8,3,4,3,3,3,4,2,2,5,3,1,2,5,4,4,3,3,3,3,2,1,3,3,1,11903,99,99,99,99,99,0,5,11903,4,20,33,0.892744454
90,12/6/2017,16:29:36,1,1,1,1,20,60160,4,3,1,1,2,5,2,3,1,2,6,4,3,2,10,4,4,4,4,4,3,99,99,99,99,99,0,2,1,1,2,1,49900,3,49900,2,23,26,0.898331923
91,12/6/2017,16:49:37,3,2,1,1,19,48329,6,6,4,3,2,3,3,3,2,2,4,3,3,2,5,4,3,4,3,3,3,2,1,3,3,2,41891,99,99,99,99,99,0,3,41891,5,20,30,1.039248857
93,12/6/2017,17:41:56,2,1,2,1,22,48192,6,6,4,5,1,4,4,5,1,2,1,3,1,1,10,4,3,4,3,4,3,99,99,99,99,99,0,2,2,1,1,1,55162,4,55162,4,21,28,0.487297943
94,12/6/2017,18:06:00,1,1,1,1,19,48306,7,7,2,4,2,4,4,3,2,2,7,4,5,5,12,4,3,4,3,4,3,99,99,99,99,99,0,2,2,1,1,1,45224,5,45224,4,21,33,1.243176588
95,12/6/2017,18:28:41,3,2,1,2,18,48855,3,3,4,4,3,5,3,4,2,2,6,4,4,3,5,4,3,3,3,4,2,2,1,3,3,2,83601,99,99,99,99,99,0,6,83601,5,19,23,1.220893734
96,12/6/2017,19:05:03,4,2,2,2,23,48079,2,9,5,5,1,5,2,4,1,2,4,4,2,2,6,4,2,3,4,4,4,2,1,2,3,1,62465,99,99,99,99,99,0,4,62465,3,21,22,0.584986654
97,12/7/2017,14:22:39,2,1,2,2,19,48382,2,2,4,5,1,5,2,4,1,2,5,1,1,2,12,3,2,4,4,5,5,99,99,99,99,99,0,2,2,1,1,1,81260,3,81260,4,23,16,0.132110264
98,12/7/2017,14:53:38,3,2,1,1,20,49326,5,5,4,5,2,3,2,3,1,2,6,4,4,6,6,4,4,4,4,4,4,2,1,3,3,1,115456,99,99,99,99,99,0,4,115456,4,24,24,1.319590767
99,12/7/2017,15:12:10,4,2,2,2,20,48433,5,1,4,5,1,5,3,3,1,2,7,5,6,6,5,5,5,5,5,5,5,2,1,3,3,1,70029,99,99,99,99,99,0,3,70029,4,30,18,0.542075083
100,12/7/2017,15:30:41,1,1,1,2,18,48638,5,5,4,5,2,2,2,3,2,2,6,5,4,2,5,3,3,3,3,4,4,99,99,99,99,99,0,2,2,1,1,1,74740,2,74740,4,20,26,1.095533735
101,12/7/2017,15:50:49,2,1,2,2,18,48820,6,6,3,4,2,5,4,2,3,2,6,4,1,2,6,3,3,3,2,3,3,99,99,99,99,99,0,2,2,1,1,1,96471,1,96471,4,17,29,1.047440824
102,12/7/2017,16:06:13,1,1,1,2,19,49009,3,3,4,4,1,5,3,2,2,2,6,4,4,4,5,4,4,4,4,3,4,99,99,99,99,99,0,2,2,1,1,1,92617,1,92617,4,23,19,0.560248148
103,12/7/2017,17:18:27,4,2,2,2,25,28584,6,6,3,3,3,4,4,4,2,2,6,4,4,6,5,5,5,5,5,5,4,2,1,3,3,1,83002,99,99,99,99,99,0,4,83002,4,29,33,0.334994631
200,11/28/2017,17:10:04,3,2,1,2,18,48239,5,6,4,5,2,5,3,4,1,2,5,4,4,2,6,4,4,4,4,3,4,2,1,3,3,1,92570,99,99,99,99,99,0,4,92570,4,23,25,1.461228185
202,11/28/2017,18:05:42,2,1,2,1,18,49426,6,8,2,4,2,4,4,4,1,2,5,4,4,1,5,5,4,4,2,3,4,99,99,99,99,99,0,2,2,1,1,1,54054,3,54054,4,22,33,1.358458597
203,11/28/2017,18:28:53,4,2,2,1,30,48895,9,9,2,4,4,4,4,4,2,2,5,3,2,5,5,3,3,3,3,4,4,2,1,3,3,1,118030,99,99,99,99,99,0,3,118030,4,20,40,0.625299113
205,11/28/2017,19:45:42,2,1,2,2,19,49508,1,1,5,4,1,5,1,3,1,2,2,1,1,1,1,3,3,2,2,3,3,99,99,99,99,99,0,2,2,1,1,2,92898,5,92898,5,16,12,0.659437156
207,12/4/2017,10:36:17,4,2,2,1,22,48187,6,4,4,5,2,4,3,5,1,2,7,5,3,2,6,5,5,5,5,5,4,2,1,3,3,2,63133,99,99,99,99,99,0,3,63133,5,29,26,0.452382123
209,12/4/2017,11:10:31,1,1,1,2,18,48044,8,8,4,5,2,3,3,4,2,2,7,5,4,6,5,5,5,5,5,5,4,99,99,99,99,99,0,2,2,1,1,1,108530,5,108530,4,29,33,0.768676184
210,12/4/2017,11:36:00,4,2,2,2,20,48225,3,8,4,5,3,3,2,4,2,2,7,4,3,2,5,5,5,4,4,5,4,2,1,3,3,1,200288,99,99,99,99,99,0,1,200288,4,27,28,-0.33879938
211,12/4/2017,12:03:09,3,2,1,2,22,48150,5,8,3,4,2,4,4,3,4,2,6,4,3,3,6,4,4,4,4,4,4,2,1,2,3,1,121992,99,99,99,99,99,0,1,121992,3,24,33,0.613627085
214,12/4/2017,13:28:26,4,2,2,1,21,48838,4,4,4,5,2,4,4,4,2,2,5,4,3,3,5,4,4,4,3,4,4,2,1,3,3,2,94801,99,99,99,99,99,0,3,94801,5,23,25,0.719269302
215,12/4/2017,14:19:00,3,2,1,2,18,48085,1,1,3,5,4,3,1,5,1,2,7,5,3,4,6,5,5,5,5,3,3,2,1,2,3,1,78156,99,99,99,99,99,0,5,78156,3,26,20,0.586990215
216,12/4/2017,14:30:51,2,1,2,1,18,48439,7,6,2,2,2,4,4,3,3,2,5,4,2,2,6,5,4,4,2,5,3,99,99,99,99,99,0,2,2,1,1,1,52010,3,52010,4,23,35,0.318680318
217,12/4/2017,14:50:04,1,1,1,1,19,60048,8,7,2,3,4,4,3,4,3,2,7,4,3,5,6,4,4,3,3,4,3,99,99,99,99,99,0,2,2,2,1,1,54774,4,54774,3,21,38,1.010181222
218,12/4/2017,15:21:07,2,1,2,2,22,48322,4,6,1,5,1,5,1,4,1,2,1,3,1,5,1,3,3,4,3,4,4,99,99,99,99,99,0,2,2,1,1,2,1201,2,1201,5,21,24,0.509262664
219,12/4/2017,15:52:26,4,2,2,2,20,60047,5,7,4,4,2,5,2,4,3,2,6,4,4,6,6,4,4,4,4,4,4,2,1,1,1,1,101509,99,99,99,99,99,0,5,101509,2,24,28,0.692976358
220,12/4/2017,17:01:57,3,2,1,1,20,48348,8,7,3,4,2,4,4,4,2,2,6,3,2,2,5,4,4,3,3,4,3,3,1,2,2,1,983,99,99,99,99,99,0,4,983,1,21,34,1.445916086
221,12/4/2017,17:25:08,1,1,1,2,21,49735,8,4,2,2,2,4,4,3,2,2,6,4,2,3,5,4,4,4,2,4,3,99,99,99,99,99,0,2,2,1,1,1,76566,2,76566,4,21,33,1.276091663
222,12/5/2017,10:05:42,3,2,1,2,18,48430,4,5,3,5,2,5,2,4,1,2,6,5,5,6,5,4,3,4,4,4,4,2,1,3,3,1,91697,99,99,99,99,99,0,5,91697,4,23,23,0.997993307
224,12/5/2017,10:50:41,4,2,2,2,18,48360,5,5,2,4,3,5,2,4,2,2,6,4,4,3,5,4,2,4,3,4,4,2,1,3,3,1,73086,99,99,99,99,99,0,3,73086,4,21,28,1.000269013
226,12/5/2017,11:27:45,2,1,2,1,18,48235,6,6,4,3,2,2,2,3,1,2,3,4,5,6,5,4,4,4,4,4,3,99,99,99,99,99,0,2,2,1,1,2,84833,1,84833,5,23,29,0.789148568
227,12/5/2017,12:14:37,4,2,2,2,18,48042,6,6,4,5,2,3,2,4,2,2,7,5,5,4,6,5,4,5,4,4,5,2,1,1,2,2,80420,99,99,99,99,99,0,4,80420,3,27,28,0.664506706
228,12/5/2017,12:48:22,1,1,1,1,18,48357,10,10,2,2,4,3,5,4,4,2,6,4,4,3,7,5,5,4,4,5,3,99,99,99,99,99,0,2,2,1,1,2,88094,5,88094,5,26,48,1.283095636
229,12/5/2017,16:58:57,1,1,1,1,18,48116,8,7,4,3,2,1,3,3,2,2,7,6,5,7,7,4,4,5,5,5,5,99,99,99,99,99,0,2,2,1,1,1,33946,4,33946,4,28,35,0.890868812
