,congress,chamber,bioguide,last_name,state_x,district,party,votes,agree_pct,predicted_agree,net_trump_vote,Unnamed: 0,state_y,name,twitter_handle
327,116,house,L000564,Lamborn,CO,5.0,R,88.0,0.920454545454545,0.89818631,24.0,178,CO-05,Doug Lamborn,@RepDLamborn
328,116,house,L000565,Loebsack,IA,2.0,D,88.0,0.0681818181818182,0.39718312,4.1,232,IA-02,David Loebsack,@daveloebsack
329,116,house,L000566,Latta,OH,5.0,R,89.0,0.9213483146067422,0.90356881,25.1,402,OH-05,Robert Latta,@boblatta
330,116,house,L000569,Luetkemeyer,MO,3.0,R,87.0,0.931034482758621,0.93027791,39.0,323,MO-03,Blaine Luetkemeyer,@RepBlaine
331,116,house,L000576,Long,MO,7.0,R,88.0,0.943181818181818,0.93433675,45.7,327,MO-07,Billy Long,@USRepLong
332,116,house,L000578,LaMalfa,CA,1.0,R,87.0,0.919540229885057,0.86996234,19.7,121,CA-01,Doug LaMalfa,@RepLaMalfa
333,116,house,L000579,Lowenthal,CA,47.0,D,89.0,0.0561797752808989,0.07137779,-31.6,167,CA-47,Alan Lowenthal,@RepLowenthal
334,116,house,L000581,Lawrence,MI,14.0,D,84.0,0.0595238095238095,0.06410169,-60.9,312,MI-14,Brenda Lawrence,@RepLawrence
335,116,house,L000582,Lieu,CA,33.0,D,87.0,0.0574712643678161,0.06807984,-41.3,153,CA-33,Ted Lieu,@RepTedLieu
336,116,house,L000583,Loudermilk,GA,11.0,R,73.0,0.9452054794520551,0.89986197,25.0,225,GA-11,Barry Loudermilk,@RepLoudermilk
337,116,house,L000585,LaHood,IL,18.0,R,87.0,0.919540229885057,0.91085396,27.3,254,IL-18,Darin LaHood,@RepLaHood
338,116,house,L000586,Lawson,FL,5.0,D,86.0,0.0813953488372093,0.07877931,-25.4,192,FL-05,Al Lawson ,@RepAlLawsonJr
339,116,house,L000588,Lamb,PA,17.0,D,89.0,0.101123595505618,0.3406547,2.6,439,PA-17,Conor Lamb,@RepConorLamb
340,116,house,L000589,Lesko,AZ,8.0,R,86.0,0.9418604651162791,0.87663345,21.1,119,AZ-08,Debbie Lesko,@RepDLesko
341,116,house,L000591,Luria,VA,2.0,D,88.0,0.11363636363636401,0.36843590000000004,3.4,501,VA-02,Elaine Luria,@RepElaineLuria
342,116,house,L000592,Levin,MI,9.0,D,89.0,0.0786516853932584,0.12948074,-7.8,169,CA-49,Mike Levin,@RepMikeLevin
343,116,house,L000592,Levin,MI,9.0,D,89.0,0.0786516853932584,0.12948074,-7.8,307,MI-09,Sander Levin,@RepAndyLevin
344,116,house,L000593,Levin,CA,49.0,D,89.0,0.0561797752808989,0.13208345,-7.5,169,CA-49,Mike Levin,@RepMikeLevin
345,116,house,L000593,Levin,CA,49.0,D,89.0,0.0561797752808989,0.13208345,-7.5,307,MI-09,Sander Levin,@RepAndyLevin
346,116,house,M000087,Maloney,NY,12.0,D,88.0,0.0795454545454545,0.05933928,-69.8,382,NY-12,Carolyn Maloney,@RepMaloney
347,116,house,M000087,Maloney,NY,12.0,D,88.0,0.0795454545454545,0.05933928,-69.8,388,NY-18,Sean Patrick Maloney,@RepSeanMaloney
348,116,house,M001185,Maloney,NY,18.0,D,89.0,0.0674157303370786,0.31682552,1.9,382,NY-12,Carolyn Maloney,@RepMaloney
349,116,house,M001185,Maloney,NY,18.0,D,89.0,0.0674157303370786,0.31682552,1.9,388,NY-18,Sean Patrick Maloney,@RepSeanMaloney
350,116,house,M000312,McGovern,MA,2.0,D,89.0,0.0898876404494382,0.08377114,-19.4,291,MA-02,James McGovern,@RepMcGovern
351,116,house,M001137,Meeks,NY,5.0,D,85.0,0.0705882352941176,0.0608228,-73.0,375,NY-05,Gregory Meeks,@RepGregoryMeeks
352,116,house,M001143,McCollum,MN,4.0,D,89.0,0.0561797752808989,0.07182649,-30.9,316,MN-04,Betty McCollum,@BettyMcCollum04
353,116,house,M001156,McHenry,NC,10.0,R,84.0,0.9047619047619051,0.89785905,24.6,342,NC-10,Patrick McHenry,@PatrickMcHenry
354,116,house,M001157,McCaul,TX,10.0,R,88.0,0.8977272727272729,0.59877421,9.1,469,TX-10,Michael McCaul,@RepMcCaul
355,116,house,M001158,Marchant,TX,24.0,R,61.0,0.9016393442622951,0.47177765,6.2,483,TX-24,Kenny Marchant,@RepKenMarchant
356,116,house,M001160,Moore,WI,4.0,D,88.0,0.0795454545454545,0.06355168,-52.2,525,WI-04,Gwen Moore,@RepGwenMoore
357,116,house,M001163,Matsui,CA,6.0,D,89.0,0.0561797752808989,0.06522679,-44.8,126,CA-06,Doris Matsui,@DorisMatsui
358,116,house,M001165,McCarthy,CA,23.0,R,87.0,0.9540229885057471,0.89688011,22.0,143,CA-23,Kevin McCarthy,@GOPLeader
359,116,house,M001166,McNerney,CA,9.0,D,86.0,0.0581395348837209,0.08753107,-18.6,129,CA-09,Jerry McNerney,@RepMcNerney
360,116,house,M001177,McClintock,CA,4.0,R,87.0,0.9425287356321842,0.77741934,14.7,124,CA-04,Tom McClintock,@RepMcClintock
361,116,house,M001180,McKinley,WV,1.0,R,89.0,0.876404494382023,0.93329445,41.6,530,WV-01,David McKinley,@RepMcKinley
362,116,house,M001184,Massie,KY,4.0,R,84.0,0.8214285714285708,0.93602788,35.9,271,KY-04,Thomas Massie,@RepThomasMassie
363,116,house,M001187,Meadows,NC,11.0,R,67.0,0.9402985074626871,0.94692081,29.2,343,NC-11,Mark Meadows,@RepMarkMeadows
364,116,house,M001188,Meng,NY,6.0,D,88.0,0.0909090909090909,0.07131808,-33.0,376,NY-06,Grace Meng,@RepGraceMeng
365,116,house,M001190,Mullin,OK,2.0,R,76.0,0.9473684210526321,0.96027398,50.1,415,OK-02,Markwayne Mullin,@RepMullin
366,116,house,M001194,Moolenaar,MI,4.0,R,89.0,0.910112359550562,0.90209463,24.8,302,MI-04,John Moolenaar,@RepMoolenaar
367,116,house,M001195,Mooney,WV,2.0,R,89.0,0.8988764044943821,0.92963063,36.4,531,WV-02,Alexander Mooney,@RepAlexMooney
368,116,house,M001196,Moulton,MA,6.0,D,85.0,0.0588235294117647,0.09032665,-17.9,295,MA-06,Seth Moulton,@teammoulton
369,116,house,M001198,Marshall,KS,1.0,R,85.0,0.9647058823529409,0.93210091,45.0,264,KS-01,Roger Marshall,
370,116,house,M001199,Mast,FL,18.0,R,82.0,0.878048780487805,0.60966894,9.2,205,FL-18,Brian Mast,@RepBrianMast
