,state,name,twitter_handle
125,CA-05,Mike Thompson ,@RepThompson
126,CA-06,Doris O. Matsui ,@DorisMatsui
127,CA-07,Ami Bera ,@RepBera
128,CA-08,Paul Cook ,@RepPaulCook
129,CA-09,Jerry McNerney ,@RepMcNerney
130,CA-10,Josh Harder ,@RepJoshHarder
131,CA-11,Mark DeSaulnier ,@RepDeSaulnier
132,CA-12,Nancy Pelosi ,@SpeakerPelosi
133,CA-13,Barbara Lee ,@RepBarbaraLee
134,CA-14,Jackie Speier ,@RepSpeier
135,CA-15,Eric Swalwell ,@RepSwalwell
136,CA-16,Jim Costa ,@RepJimCosta
137,CA-17,Ro Khanna ,@RepRoKhanna
138,CA-18,Anna G. Eshoo ,@RepAnnaEshoo
139,CA-19,Zoe Lofgren ,@RepZoeLofgren
140,CA-20,Jimmy Panetta ,@RepJimmyPanetta
141,CA-21,TJ Cox ,@RepTjCox
142,CA-22,Devin Nunes ,@RepDevinNunes
143,CA-23,Kevin McCarthy ,@GOPLeader
144,CA-24,Salud O. Carbajal ,@RepCarbajal
145,CA-25,Katie Hill ,@RepKatieHill
146,CA-26,Julia Brownley ,@RepBrownley
147,CA-27,Judy Chu ,@RepJudyChu
148,CA-28,Adam B. Schiff ,@RepAdamSchiff
149,CA-29,Tony Cárdenas ,@RepCardenas
150,CA-30,Brad Sherman ,@BradSherman
151,CA-31,Pete Aguilar ,@RepPeteAguilar
152,CA-32,Grace F. Napolitano ,@gracenapolitano
153,CA-33,Ted Lieu ,@RepTedLieu
154,CA-34,Jimmy Gomez ,@RepJimmyGomez
155,CA-35,Norma J. Torres ,@NormaJTorres
156,CA-36,Raul Ruiz ,@CongressmanRuiz
157,CA-37,Karen Bass ,@RepKarenBass
158,CA-38,Linda T. Sánchez ,@RepLindaSanchez
159,CA-39,Gilbert Ray Jr. Cisneros ,@RepGilCisneros
160,CA-40,Lucille Roybal-Allard ,@RepRoybalAllard
161,CA-41,Mark Takano ,@RepMarkTakano
162,CA-42,Ken Calvert ,@KenCalvert
163,CA-43,Maxine Waters ,@RepMaxineWaters
164,CA-44,Nanette Diaz Barragán ,@RepBarragan
165,CA-45,Katie Porter ,@RepKatiePorter
166,CA-46,J. Luis Correa ,@RepLouCorrea
167,CA-47,Alan S. Lowenthal ,@RepLowenthal
168,CA-48,Harley Rouda ,@RepHarley
169,CA-49,Mike Levin ,@RepMikeLevin
170,CA-50,Duncan Hunter ,@Rep_Hunter
171,CA-51,Juan Vargas ,@RepJuanVargas
172,CA-52,Scott H. Peters ,@RepScottPeters
173,CA-53,Susan A. Davis ,@RepSusanDavis
174,CO-01,Diana DeGette ,@RepDianaDeGette
175,CO-02,Joe Neguse ,@RepJoeNeguse
176,CO-03,Scott R. Tipton ,@RepTipton
177,CO-04,Ken Buck ,@RepKenBuck
178,CO-05,Doug Lamborn ,@RepDLamborn
179,CO-06,Jason Crow ,@RepJasonCrow
180,CO-07,Ed Perlmutter ,@RepPerlmutter
181,CT-01,John B. Larson ,@RepJohnLarson
182,CT-02,Joe Courtney ,@RepJoeCourtney
183,CT-03,Rosa L. DeLauro ,@rosadelauro
184,CT-04,James A. Himes ,@jahimes
185,CT-05,Jahana Hayes ,@RepJahanaHayes
186,DE - ,Lisa Blunt Rochester ,@RepLBR
187,DC ,Eleanor Holmes Norton ,@EleanorNorton
188,FL-01,Matt Gaetz ,@RepMattGaetz
189,FL-02,Neal P. Dunn ,@DrNealDunnFL2
190,FL-03,Ted S. Yoho ,@RepTedYoho
191,FL-04,John H. Rutherford ,@RepRutherfordFL
192,FL-05,Al Lawson Jr. ,@RepAlLawsonJr
193,FL-06,Michael Waltz ,@RepMichaelWaltz
194,FL-07,Stephanie N. Murphy ,@RepStephMurphy
195,FL-08,Bill Posey ,@congbillposey
196,FL-09,Darren Soto ,@RepDarrenSoto
197,FL-10,Val Butler Demings ,@RepValDemings
198,FL-11,Daniel Webster ,@RepWebster
199,FL-12,Gus M. Bilirakis ,@RepGusBilirakis
200,FL-13,Charlie Crist ,@RepCharlieCrist
201,FL-14,Kathy Castor ,@USRepKCastor
202,FL-15,Dennis A. Ross ,N/A
203,FL-16,Vern Buchanan ,@VernBuchanan
204,FL-17,W. Gregory Steube ,@RepGregSteube
205,FL-18,Brian J. Mast ,@RepBrianMast
206,FL-19,Francis Rooney ,@RepRooney
207,FL-20,Alcee L. Hastings ,@RepHastingsFL
208,FL-21,Lois Frankel ,@RepLoisFrankel
209,FL-22,Theodore E. Deutch ,@RepTedDeutch
210,FL-23,Debbie Wasserman Schultz ,@RepDWStweets
211,FL-24,Frederica S. Wilson ,@RepWilson
212,FL-25,Mario Diaz-Balart ,@MarioDB
213,FL-26,Debbie Mucarsel-Powell ,@RepDMP
214,FL-27,Donna E. Shalala ,@RepShalala
215,GA-01,"Earl L. ""Buddy"" Carter ",@RepBuddyCarter
216,GA-02,Sanford D. Bishop ,@SanfordBishop
217,GA-03,A. Drew Ferguson ,@RepDrewFerguson
218,GA-04,"Henry C. ""Hank"" Johnson Jr. ",@RepHankJohnson
219,GA-05,John Lewis ,@repjohnlewis
220,GA-06,Lucy McBath ,@RepLucyMcBath
221,GA-07,Rob Woodall ,@RepRobWoodall
222,GA-08,Austin Scott ,@AustinScottGA08
223,GA-09,Doug Collins ,@RepDougCollins
224,GA-10,Jody B. Hice ,@CongressmanHice
225,GA-11,Barry Loudermilk ,@RepLoudermilk
226,GA-12,Rick W. Allen ,@RepRickAllen
227,GA-13,David Scott ,@repdavidscott
228,GA-14,Tom Graves ,@RepTomGraves
229,HI-01,Ed Case ,@RepEdCase
230,HI-02,Tulsi Gabbard ,@TulsiPress
231,IA-01,Abby Finkenauer ,@RepFinkenauer
232,IA-02,David Loebsack ,@daveloebsack
233,IA-03,Cynthia Axne ,@RepCindyAxne
234,IA-04,Steve King ,N/A
235,ID-01,Russ Fulcher ,@RepRussFulcher
236,ID-02,Michael K. Simpson ,@CongMikeSimpson
237,IL-01,Bobby L. Rush ,@RepBobbyRush
238,IL-02,Robin L. Kelly ,@RepRobinKelly
239,IL-03,Daniel Lipinski ,@RepLipinski
240,IL-04,"Jesús ""Chuy"" García ",@RepChuyGarcia
241,IL-05,Mike Quigley ,@RepMikeQuigley
242,IL-06,Sean Casten ,@RepCasten
243,IL-07,Danny K. Davis ,@RepDannyDavis
244,IL-08,Raja Krishnamoorthi ,@CongressmanRaja
245,IL-09,"Janice ""Jan"" D. Schakowsky ",@janschakowsky
246,IL-10,Bradley Scott Schneider ,@RepSchneider
247,IL-11,Bill Foster ,@RepBillFoster
248,IL-12,Mike Bost ,@RepBost
249,IL-13,Rodney Davis ,@RodneyDavis
250,IL-14,Lauren Underwood ,@RepUnderwood
251,IL-15,John Shimkus ,@RepShimkus
252,IL-16,Adam Kinzinger ,@RepKinzinger
253,IL-17,Cheri Bustos ,@RepCheri
254,IL-18,Darin LaHood ,@RepLaHood
255,IN-01,Peter J. Visclosky ,@RepVisclosky
256,IN-02,Jackie Walorski ,@RepWalorski
257,IN-03,Jim Banks ,@RepJimBanks
258,IN-04,James Baird ,@RepJimBaird
259,IN-05,Susan W. Brooks ,@SusanWBrooks
260,IN-06,Greg Pence ,@RepGregPence
261,IN-07,André Carson ,@RepAndreCarson
262,IN-08,Larry Bucshon ,@RepLarryBucshon
263,IN-09,Trey Hollingsworth ,@RepTrey
264,KS-01,Roger W. Marshall ,N/A
265,KS-02,Steven Watkins ,N/A
266,KS-03,Sharice Davids ,@RepDavids
267,KS-04,Ron Estes ,@RepRonEstes
268,KY-01,James Comer ,N/A
269,KY-02,Brett Guthrie ,@RepGuthrie
270,KY-03,John A. Yarmuth ,@RepJohnYarmuth
271,KY-04,Thomas Massie ,@RepThomasMassie
272,KY-05,Harold Rogers ,@RepHalRogers
273,KY-06,Andy Barr ,@RepAndyBarr
274,LA-01,Steve Scalise ,@SteveScalise
275,LA-02,Cedric L. Richmond ,@RepRichmond
276,LA-03,Clay Higgins ,@RepClayHiggins
277,LA-04,Mike Johnson ,@RepMikeJohnson
278,LA-05,Ralph Lee Abraham ,@RepAbraham
279,LA-06,Garret Graves ,@RepGarretGraves
280,ME-01,Chellie Pingree ,@chelliepingree
281,ME-02,Jared Golden ,@RepGolden
282,MD-01,Andy Harris ,@RepAndyHarrisMD
283,MD-02,C. A. Dutch Ruppersberger ,@Call_Me_Dutch
284,MD-03,John P. Sarbanes ,@RepSarbanes
285,MD-04,Anthony G. Brown ,@RepAnthonyBrown
286,MD-05,Steny H. Hoyer ,@LeaderHoyer
287,MD-06,David Trone ,@RepDavidTrone
288,MD-07,Elijah Cummings ,@RepCummings
289,MD-08,Jamie Raskin ,@RepRaskin
290,MA-01,Richard E. Neal ,@RepRichardNeal
291,MA-02,James P. McGovern ,@RepMcGovern
292,MA-03,Lori Trahan ,@RepLoriTrahan
293,MA-04,Joseph P. Kennedy ,@RepJoeKennedy
294,MA-05,Katherine M. Clark ,@RepKClark
295,MA-06,Seth Moulton ,@teammoulton
296,MA-07,Ayanna Pressley ,@RepPressley
297,MA-08,Stephen F. Lynch ,@RepStephenLynch
298,MA-09,William R. Keating ,@USRepKeating
299,MI-01,Jack Bergman ,@RepJackBergman
300,MI-02,Bill Huizenga ,@RepHuizenga
301,MI-03,Justin Amash ,@justinamash
302,MI-04,John R. Moolenaar ,@RepMoolenaar
303,MI-05,Daniel T. Kildee ,@RepDanKildee
304,MI-06,Fred Upton ,@RepFredUpton
305,MI-07,Tim Walberg ,@RepWalberg
