id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,IAT_score
126,11/22/2017,13:42:19,4,2,2,1,20,49327,7,6,2,5,3,2,1,5,3,3,4,3,3,4,2,1,2,1,1,49795,99,99,99,99,99,0,3,49795,2,20,1.149556153
127,11/22/2017,14:29:26,3,2,1,2,18,48603,3,4,2,3,3,3,2,6,4,4,3,3,3,3,2,1,3,3,1,88368,99,99,99,99,99,0,4,88368,4,20,1.027862154
128,11/22/2017,14:41:05,1,1,1,1,18,54208,7,5,2,6,5,4,6,6,5,5,5,4,5,4,99,99,99,99,99,0,2,2,1,1,1,66831,3,66831,4,28,0.877268852
200,11/20/2017,10:34:07,3,2,1,1,24,49431,7,7,2,5,3,2,5,5,4,4,4,2,4,3,2,1,2,2,1,85582,99,99,99,99,99,0,4,85582,2,21,1.019771407
201,11/20/2017,11:05:45,1,1,1,1,22,48616,5,5,1,7,1,1,1,1,2,1,1,1,1,1,99,99,99,99,99,0,2,2,1,1,1,37549,5,37549,4,7,1.043186418
202,11/20/2017,12:23:59,2,1,2,1,19,48038,9,6,2,6,3,5,2,5,4,4,3,3,4,2,99,99,99,99,99,0,2,2,1,1,1,89919,2,89919,4,20,0.443058369
203,11/20/2017,13:29:24,4,2,2,2,19,49202,7,5,2,7,4,4,4,6,5,4,4,4,4,3,2,1,2,2,1,49499,99,99,99,99,99,0,4,49499,2,24,-0.078199887
204,11/20/2017,13:49:23,3,2,1,2,18,46158,8,7,2,1,4,3,6,5,4,4,5,5,4,5,2,1,2,1,2,119465,99,99,99,99,99,0,4,119465,3,27,1.287035622
205,11/20/2017,14:06:12,2,1,2,2,19,60462,4,4,2,6,4,4,4,7,5,4,5,3,3,4,99,99,99,99,99,0,2,2,1,1,1,76019,3,76019,4,24,0.631648474
206,11/20/2017,14:18:44,1,1,1,2,18,49633,6,6,1,7,1,1,1,10,1,1,1,1,3,1,99,99,99,99,99,0,2,2,1,1,1,66566,5,66566,4,8,1.093774122
207,11/20/2017,15:13:44,4,2,2,1,23,60643,7,11,2,6,3,2,2,10,4,1,4,3,4,3,2,1,1,1,1,89045,99,99,99,99,99,0,3,89045,2,19,0.988335765
208,11/20/2017,15:30:12,3,2,1,2,18,48360,7,9,2,6,4,4,4,7,4,5,4,4,5,4,2,1,3,3,1,148811,99,99,99,99,99,0,1,148811,4,26,0.624213151
209,11/20/2017,17:23:43,1,1,1,2,19,54115,1,1,2,6,4,4,4,5,4,3,4,3,4,4,99,99,99,99,99,0,2,2,1,1,1,66815,5,66815,4,22,1.614911073
210,11/20/2017,17:51:30,4,2,2,2,18,49404,8,6,2,7,5,5,7,5,4,2,5,5,5,5,2,1,3,3,2,57517,99,99,99,99,99,0,3,57517,5,26,0.816008001
211,11/20/2017,18:06:37,3,2,1,2,20,49684,8,10,2,7,5,5,5,6,5,5,5,5,5,3,2,1,3,1,1,90511,99,99,99,99,99,0,3,90511,3,28,0.942717112
212,11/20/2017,18:20:22,2,1,2,2,21,48439,7,5,2,7,6,4,7,5,5,4,5,3,5,5,99,99,99,99,99,0,2,2,1,1,1,59561,2,59561,4,27,1.359390085
213,11/21/2017,10:05:16,1,1,1,1,19,48808,3,3,2,7,5,5,6,6,5,5,5,5,5,5,99,99,99,99,99,0,2,2,1,1,1,63555,3,63555,4,30,0.924365324
214,11/21/2017,10:49:46,4,2,2,2,18,48081,6,9,2,5,4,4,5,5,3,4,4,4,4,4,2,1,2,2,1,66237,99,99,99,99,99,0,3,66237,2,23,0.954594747
215,11/21/2017,11:03:23,3,2,1,2,18,49080,6,5,2,5,3,2,5,7,3,4,4,3,3,2,2,1,1,1,1,85160,99,99,99,99,99,0,3,85160,2,19,0.863358399
216,11/21/2017,11:28:14,2,1,2,2,18,49221,7,7,2,6,3,1,2,12,4,4,3,3,4,3,99,99,99,99,99,0,2,2,1,1,1,82430,5,82430,4,21,0.921887957
217,11/21/2017,11:48:06,1,1,1,1,18,48170,5,5,2,5,3,2,2,7,4,4,3,3,4,2,99,99,99,99,99,0,2,2,1,1,2,77017,4,77017,5,20,0.820578309
218,11/21/2017,12:05:24,2,1,2,1,18,49797,9,8,2,5,3,2,2,5,1,4,4,4,4,3,99,99,99,99,99,0,2,2,1,1,1,61901,5,61901,4,20,0.712027722
219,11/21/2017,12:31:25,4,2,2,2,18,48044,10,11,2,7,4,5,4,5,5,3,5,5,5,3,2,1,2,1,1,42354,99,99,99,99,99,0,3,42354,2,26,0.904671798
220,11/21/2017,12:59:11,3,2,1,2,19,60543,6,6,2,5,2,2,1,5,4,4,4,4,3,3,2,1,3,2,1,92789,99,99,99,99,99,0,4,92789,3,22,1.041119514
221,11/21/2017,17:12:22,1,1,1,2,21,49221,5,6,2,3,2,1,1,5,3,3,3,2,3,3,99,99,99,99,99,0,2,2,1,1,1,71324,4,71324,4,17,0.788294614
222,11/21/2017,17:31:57,3,2,1,2,25,48413,9,7,2,7,5,4,7,5,4,3,5,4,4,5,2,3,2,1,1,97859,99,99,99,99,99,0,4,97859,1,25,0.753610629
223,11/21/2017,18:07:40,2,1,2,1,23,48154,7,7,2,6,4,3,5,6,5,5,4,3,5,5,99,99,99,99,99,0,2,2,1,1,2,62899,5,62899,5,27,0.672949046
224,11/21/2017,18:30:26,4,2,2,2,18,49286,5,5,2,1,5,5,6,6,4,4,4,4,4,3,2,1,2,3,1,96845,99,99,99,99,99,0,5,96845,3,23,0.969111714
225,11/21/2017,18:47:57,3,2,1,1,19,48324,11,11,2,5,4,3,2,5,4,3,4,4,4,3,2,3,2,1,1,54132,99,99,99,99,99,0,2,54132,1,22,0.022100601
226,11/21/2017,19:02:44,2,1,2,2,20,48748,1,2,1,5,3,2,1,1,3,2,2,2,2,4,99,99,99,99,99,0,2,2,1,1,2,72696,4,72696,5,15,0.299981867
227,11/21/2017,19:34:58,4,2,2,1,20,48192,10,8,2,7,4,3,2,6,5,5,5,4,5,4,2,1,1,1,1,72650,99,99,99,99,99,0,3,72650,2,28,0.487984228
228,11/21/2017,19:46:35,1,1,1,2,18,48603,2,2,2,3,3,4,1,5,3,1,2,2,3,3,99,99,99,99,99,0,3,2,1,1,2,65364,5,65364,4,14,0.647176919
