id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,IAT_score
30,11/15/2017,10:10:35,4,2,2,2,21,48138,9,9,2,5,3,2,2,6,3,3,4,3,3,4,2,1,3,3,2,77068,99,99,99,99,99,0,5,77068,5,20,-0.280488857
31,11/15/2017,10:29:07,3,2,1,1,18,48169,7,6,2,6,4,3,2,6,4,3,3,3,3,3,2,1,3,3,1,159502,99,99,99,99,99,0,2,159502,4,19,1.023116877
32,11/15/2017,10:49:11,1,1,1,1,22,48642,9,9,2,7,6,6,7,7,5,5,5,5,1,5,99,99,99,99,99,0,2,2,1,1,2,59632,3,59632,5,26,0.931791945
33,11/15/2017,11:07:01,1,1,1,2,22,49721,7,7,2,6,4,3,6,5,4,4,4,4,4,4,99,99,99,99,99,0,2,2,1,1,1,57613,4,57613,4,24,1.29306418
34,11/15/2017,11:25:52,4,2,2,1,18,49684,10,10,2,7,5,5,6,6,5,5,5,5,5,5,2,1,3,3,1,229882,99,99,99,99,99,0,6,229882,4,30,1.162515395
35,11/15/2017,11:48:43,3,2,1,2,18,49435,8,5,2,7,5,5,4,6,5,3,4,3,5,5,2,1,3,3,1,110701,99,99,99,99,99,0,2,110701,4,25,1.214500733
36,11/15/2017,12:08:18,2,1,2,2,18,48047,5,8,2,3,3,1,2,10,3,3,3,3,4,3,99,99,99,99,99,0,2,2,1,1,2,64677,3,64677,5,19,0.44362477
37,11/15/2017,12:25:36,4,2,2,2,19,49829,3,3,2,6,4,4,5,5,5,3,3,2,5,4,2,1,3,3,1,52164,99,99,99,99,99,0,2,52164,4,22,0.904257442
38,11/15/2017,13:07:42,2,1,2,2,18,48858,6,6,2,7,4,3,2,9,1,1,3,2,1,1,99,99,99,99,99,0,2,1,1,1,1,57386,3,57386,3,9,-0.288573193
39,11/15/2017,13:26:06,3,2,1,2,19,48382,6,6,2,4,3,1,1,5,3,3,3,3,3,3,2,1,3,3,1,95029,99,99,99,99,99,0,3,95029,4,18,1.424060129
40,11/15/2017,14:12:40,1,1,1,2,18,48038,1,1,1,5,1,1,1,2,3,3,2,3,3,4,99,99,99,99,99,0,2,2,1,1,1,71494,1,71494,4,18,1.128593679
41,11/15/2017,14:27:22,4,2,2,2,19,48917,4,6,2,5,4,3,2,6,4,3,3,3,4,3,2,1,3,1,1,74663,99,99,99,99,99,0,3,74663,3,20,0.517036643
42,11/15/2017,15:24:10,2,1,2,2,20,49274,4,6,1,6,1,1,1,10,1,1,1,1,4,5,99,99,99,99,99,0,2,2,1,1,2,94389,5,94389,5,13,0.279336579
43,11/15/2017,15:36:50,1,1,1,2,20,48150,9,9,2,5,4,3,5,6,4,4,3,4,4,3,99,99,99,99,99,0,2,2,1,1,2,55583,4,55583,5,22,1.462042156
44,11/15/2017,16:04:11,3,2,1,2,18,49735,9,8,2,7,4,2,7,6,5,2,5,5,5,5,2,1,1,3,1,57018,99,99,99,99,99,0,3,57018,3,27,0.475695556
45,11/15/2017,16:47:04,3,2,1,1,19,48640,7,6,2,6,4,4,1,6,4,3,4,4,4,5,2,1,3,3,2,105000,99,99,99,99,99,0,5,105000,5,24,0.488826668
46,11/15/2017,17:05:33,1,1,1,2,19,48185,3,3,2,5,4,4,6,6,3,3,4,4,4,4,99,99,99,99,99,0,2,2,1,1,2,115262,2,115262,5,22,0.135726737
47,11/15/2017,17:24:36,2,1,2,2,21,48858,5,6,2,4,3,3,2,6,5,2,2,3,5,3,99,99,99,99,99,0,2,2,1,1,1,44491,3,44491,4,20,0.423856427
48,11/15/2017,17:39:44,4,2,2,2,23,48216,6,6,2,6,4,3,4,5,4,3,4,5,4,3,2,1,3,3,1,52759,99,99,99,99,99,0,2,52759,4,23,0.617915979
49,11/15/2017,18:04:17,3,2,1,1,19,48178,9,6,2,4,4,3,3,5,3,3,4,3,3,3,2,1,1,1,1,100573,99,99,99,99,99,0,2,100573,2,19,0.983975004
50,11/15/2017,18:31:08,2,1,2,1,18,48383,11,11,2,7,4,3,4,7,5,4,4,3,5,5,99,99,99,99,99,0,2,2,1,1,2,55193,5,55193,5,26,0.447229706
